colorfulness,minEnergy,lightning,globalActivity,nbWhiteFrames,nbSceneCuts,cutLength,flatness_env,wtf_max2stdratio_1,wtf_max2stdratio_2,wtf_max2stdratio_3,wtf_max2stdratio_4,wtf_max2stdratio_5,wtf_max2stdratio_6,wtf_max2stdratio_7,wtf_max2stdratio_8,wtf_max2stdratio_9,wtf_max2stdratio_10,wtf_max2stdratio_11,wtf_max2stdratio_12,medianLightness,slope,alpha,hueCount,maxSaliencyCount,compositionalBalance,depthOfField,saliencyDisparity,spatialEdgeDistributionArea,entropyComplexity,nbWhiteFrames,nbFades,nbSceneCuts,asymmetry_env,flatness,zcr,colorStrength,colorRawEnergy
42.235054,0.611855,0.200789,0.206722,0,2,88,0,4.93E+00,4.88E+00,4.65E+00,4.42E+00,4.04E+00,3.23E+00,2.69E+00,2.08E+00,1.51E+00,1.41E+00,1.41E+00,2.37E+15,0.333333,1.339651,43,47,0.004392,3.222927,174.679382,0.05755,0.853156,13.227901,0,0,2,108.150207,0,0.097466,0.08124,15.079681
89.741394,0.708765,0.532613,0.345441,0,3,59.666668,0.069256,4.79E+00,4.76E+00,4.79E+00,4.39E+00,3.92E+00,3.30E+00,2.83E+00,2.12E+00,1.62E+00,1.43E+00,1.41E+00,1.53E+15,0.596078,1.28376,39,45,0.001662,7.254783,197.650024,0.019259,0.938585,10.23356,0,0,3,239.299219,0.000712,0.084305,0.108821,22.012485
64.568863,0.611805,1.14499,0.32923,0,3,41.333332,0,5.17E+00,5.26E+00,5.10E+00,4.81E+00,4.25E+00,3.60E+00,2.89E+00,2.09E+00,1.55E+00,1.42E+00,1.41E+00,2.65E+15,0.988235,1.327305,41,57,0.001758,0.677757,255,0.240539,0.935365,7.66796,0,0,3,110.892221,0,0.177066,0.066282,35.546322
74.719986,0.945885,0.047631,0.384659,0,2,67,0,5.26E+00,5.31E+00,5.03E+00,4.53E+00,4.07E+00,3.56E+00,2.88E+00,2.17E+00,1.59E+00,1.42E+00,1.41E+00,2.13E+15,0.435294,1.397043,43,43,0.008128,0.521224,82.795815,0.118059,0.939478,12.893633,0,0,2,63.688335,0,0.159584,0.113885,10.951492
40.207561,0.350193,0.68216,1.043906,5,7,29.571428,0,5.19E+00,5.26E+00,4.99E+00,4.58E+00,4.06E+00,3.50E+00,2.87E+00,2.19E+00,1.59E+00,1.43E+00,1.41E+00,3.10E+15,0.827451,1.433729,61,77,0.034545,0.568993,13.510188,0.116713,0.869089,2.529352,5,4,7,56.374151,0,0.16373,0.078842,19.896918
32.266323,0.846569,1.67153,0.348054,0,2,87.5,0,5.18E+00,5.24E+00,4.93E+00,4.48E+00,3.94E+00,3.41E+00,2.91E+00,2.27E+00,1.63E+00,1.43E+00,1.41E+00,2.75E+15,0.568627,1.457799,39,39,0.007779,1.486658,130.452927,0.07051,0.82346,7.291376,0,0,2,51.036344,0,0.138488,0.048022,25.982136
81.678032,0.806534,0.296924,0.205542,0,1,165,0.256456,5.22E+00,5.36E+00,5.10E+00,4.62E+00,4.13E+00,3.50E+00,2.79E+00,2.10E+00,1.56E+00,1.43E+00,1.41E+00,4.10E+15,0.529412,1.407226,25,34,0.151164,0.139664,83.86557,0.273218,0.931836,10.118099,0,0,1,29.391305,0.014038,0.215397,0.154869,7.589529
34.275852,0.822724,0.125104,0.079194,0,2,65,0,5.26E+00,5.28E+00,5.00E+00,4.46E+00,3.98E+00,3.44E+00,2.73E+00,2.02E+00,1.54E+00,1.42E+00,1.41E+00,2.33E+15,0.341176,1.398485,44,61,0.004505,0.583786,172.115295,0.077345,0.93232,13.979059,0,0,2,36.103357,0,0.204389,0.065401,102.099168
68.693161,1.018264,0.217649,0.356021,0,14,18.785715,0,5.27E+00,5.33E+00,4.94E+00,4.49E+00,3.98E+00,3.37E+00,2.61E+00,1.93E+00,1.52E+00,1.42E+00,1.41E+00,3.22E+15,0.807843,1.28486,31,37,0.000864,0.526353,106.258606,0.010249,0.913163,7.526587,0,0,14,46.620635,0,0.229472,0.148291,8.907864
64.895432,0.793273,0.25072,0.197321,0,1,90,0,5.41E+00,5.56E+00,5.22E+00,4.76E+00,4.23E+00,3.57E+00,2.77E+00,1.96E+00,1.53E+00,1.42E+00,1.41E+00,2.49E+15,0.235294,1.445873,28,30,0.010971,13.350157,62.439777,0.116326,0.890113,11.428555,0,0,1,57.331744,0,0.2101,0.086573,7.929386
59.85144,0.948931,0.141707,0.361081,0,5,43.799999,0,5.16E+00,5.21E+00,5.00E+00,4.60E+00,4.17E+00,3.60E+00,2.90E+00,2.20E+00,1.59E+00,1.42E+00,1.41E+00,2.97E+15,0.803922,1.273943,30,42,0.01208,3.312833,158.249268,0.078532,0.924931,6.632375,0,0,5,40.522916,0,0.167685,0.127003,9.786207
90.527412,0.998918,1.141695,0.969585,0,8,34,0,5.05E+00,4.82E+00,4.56E+00,4.31E+00,4.01E+00,3.49E+00,2.92E+00,2.10E+00,1.55E+00,1.42E+00,1.41E+00,9.68E+14,0.278431,1.372657,57,39,0.005394,0,0,0.108151,0.909252,10.154859,0,2,8,174.620149,0,0.057019,0.122572,12.236166
34.954681,1.006855,0.129385,0.198779,0,3,57.666668,0.817658,4.98E+00,4.87E+00,4.59E+00,4.28E+00,3.98E+00,3.44E+00,2.89E+00,2.06E+00,1.55E+00,1.42E+00,1.41E+00,1.01E+15,0.235294,1.371022,35,94,0.001941,1.396896,103.618034,0.312522,0.865493,13.869771,0,0,3,144.460347,0.011184,0.06326,0.058136,126.900294
81.386932,0.601793,0.175526,0.414209,0,0,0,0.425561,5.05E+00,4.83E+00,4.50E+00,4.20E+00,3.94E+00,3.47E+00,2.92E+00,2.11E+00,1.57E+00,1.42E+00,1.41E+00,1.03E+15,0.301961,1.384016,47,59,0.001396,0.493694,61.004158,0.03862,0.914795,11.893987,0,1,0,155.260457,0.005214,0.058037,0.09717,20.101617
59.150707,0.365996,1.092399,0.093067,0,1,124,0.403393,4.99E+00,4.76E+00,4.40E+00,4.12E+00,3.88E+00,3.46E+00,2.85E+00,2.07E+00,1.56E+00,1.42E+00,1.41E+00,8.97E+14,0.141176,1.43896,55,72,0.00079,4.473773,151.727753,0.010797,0.699604,12.550637,0,0,1,168.553152,0.005395,0.050233,0.066605,20.394248
71.673912,0.979842,0.430875,0.243932,0,0,0,0,5.37E+00,5.61E+00,5.11E+00,4.60E+00,4.10E+00,3.47E+00,2.55E+00,1.82E+00,1.49E+00,1.42E+00,1.41E+00,3.78E+15,0.490196,1.358097,21,18,0.006092,1.777564,177.573807,0.032807,0.796531,10.866261,0,0,0,33.679105,0,0.269703,0.112847,44.362857
47.12368,0.893374,0.848224,0.044233,0,1,101,21.745438,5.40E+00,5.51E+00,5.06E+00,4.54E+00,4.04E+00,3.36E+00,2.39E+00,1.69E+00,1.46E+00,1.42E+00,1.41E+00,3.47E+15,0.513726,1.361129,44,44,0.004085,1.744715,110.540138,0.032537,0.800585,11.425442,0,0,1,19.583533,0.267038,0.312267,0.091209,11.111847
34.82439,1.024988,0.533119,0.14871,0,2,36.5,0,5.33E+00,5.53E+00,5.12E+00,4.75E+00,4.07E+00,3.47E+00,2.59E+00,1.80E+00,1.48E+00,1.42E+00,1.41E+00,2.15E+15,0.388235,1.465555,44,33,0.02549,0.434831,73.324219,0.196601,0.795768,10.372759,0,0,2,28.648629,0,0.263401,0.056731,11.295785
101.713058,1.609655,0.078671,0.077594,0,1,152,0,5.28E+00,5.44E+00,5.12E+00,4.73E+00,4.20E+00,3.49E+00,2.60E+00,1.81E+00,1.49E+00,1.42E+00,1.41E+00,3.41E+15,0.658824,1.379191,6,18,0.002734,3.38615,139.541901,0.080507,0.788405,9.561141,0,0,1,38.991966,0,0.255721,0.159907,71.911306
49.620438,1.104319,0.203763,0.78233,0,2,88,0,5.42E+00,5.61E+00,5.18E+00,4.71E+00,4.10E+00,3.51E+00,2.58E+00,1.82E+00,1.48E+00,1.42E+00,1.41E+00,2.71E+15,0.352941,1.391773,112,37,0.001754,0.407615,70.628952,0.019584,0.902454,11.642683,0,0,2,35.407961,0,0.270142,0.093761,58.708753
65.104584,0.884016,0.402707,0.066417,0,1,149,0,5.27E+00,5.13E+00,4.75E+00,4.26E+00,3.93E+00,3.44E+00,2.86E+00,2.33E+00,1.72E+00,1.44E+00,1.41E+00,1.51E+15,0.92549,1.366723,216,16,0.003021,4.396526,112.920479,0.093368,0.802486,5.955224,0,0,1,174.89905,0,0.041126,0.221356,43.862285
31.299503,1.093986,0.806313,0.183312,0,1,186,0,5.32E+00,5.56E+00,5.11E+00,4.67E+00,4.13E+00,3.43E+00,2.50E+00,1.79E+00,1.48E+00,1.42E+00,1.41E+00,2.07E+15,0.32549,1.487883,43,35,0.008232,0,0,0.068264,0.885426,10.067931,0,0,1,30.44507,0,0.288026,0.054867,11.505952
50.414249,1.414422,0.495901,0.106002,0,0,0,0.103517,5.29E+00,5.57E+00,5.23E+00,4.80E+00,4.34E+00,3.65E+00,2.77E+00,2.02E+00,1.57E+00,1.43E+00,1.41E+00,4.23E+15,0.196078,1.406189,15,17,0.007389,0,0,0.099453,0.91188,9.302106,0,0,0,53.082233,0.00145,0.205017,0.115183,14.268375
48.648979,1.453669,0.268875,0.030936,0,0,0,0.035277,5.41E+00,5.53E+00,5.24E+00,4.71E+00,4.30E+00,3.58E+00,2.75E+00,1.98E+00,1.54E+00,1.42E+00,1.41E+00,2.48E+15,0.223529,1.387024,4,14,0.018779,4.707114,47.640179,0.166101,0.907701,10.800323,0,0,0,62.582398,0.000381,0.200207,0.122399,25.700856
45.807919,1.421916,0.195383,0.085675,0,0,0,0,5.36E+00,5.44E+00,5.18E+00,4.75E+00,4.27E+00,3.82E+00,3.02E+00,2.18E+00,1.62E+00,1.42E+00,1.41E+00,2.85E+15,0.207843,1.416752,24,25,0.31331,0.341698,12.855695,0.2665,0.912356,8.433431,0,0,0,54.837586,0,0.177238,0.107741,11.341137
47.444893,1.175591,0.327492,0.094756,0,0,0,0,5.27E+00,5.35E+00,5.07E+00,4.72E+00,4.18E+00,3.57E+00,2.71E+00,1.87E+00,1.51E+00,1.42E+00,1.41E+00,4.41E+15,0.219608,1.401943,15,30,0.007625,0.275217,0.365348,0.252799,0.908172,8.602142,0,0,0,33.894121,0,0.23587,0.091768,12.875981
40.229881,0.64299,0.864363,0.351137,0,10,12.3,0,5.31E+00,5.47E+00,5.21E+00,4.77E+00,4.30E+00,3.63E+00,2.81E+00,2.00E+00,1.56E+00,1.42E+00,1.41E+00,2.96E+15,0.368627,1.379296,185,55,0.009379,1.746594,104.719948,0.076433,0.908489,10.675776,0,1,10,41.681234,0,0.225936,0.092,97.757599
81.424911,1.020986,0.005995,0.157523,0,0,0,0,5.37E+00,5.35E+00,4.96E+00,4.49E+00,4.15E+00,3.78E+00,3.01E+00,2.28E+00,1.67E+00,1.43E+00,1.41E+00,1.85E+15,0.776471,1.404849,30,34,0.004064,0.19,89.090164,0.025934,0.910324,10.366118,0,0,0,104.564305,0,0.084705,0.157563,9.920349
41.432827,0.835764,0.115103,0.398036,0,2,103,0,5.35E+00,5.30E+00,4.91E+00,4.53E+00,4.16E+00,3.76E+00,2.97E+00,2.21E+00,1.62E+00,1.42E+00,1.41E+00,1.52E+15,0.215686,1.410867,15,39,0.021559,13.59078,44.282192,0.164985,0.909826,10.68963,0,0,2,115.343565,0,0.094247,0.069801,34.876653
72.392433,1.011651,0.444042,0.396595,0,2,77.5,0,5.54E+00,5.59E+00,5.10E+00,4.62E+00,4.23E+00,3.78E+00,3.05E+00,2.28E+00,1.67E+00,1.43E+00,1.41E+00,2.03E+15,0.423529,1.398963,31,35,0.004962,0.63041,110.050591,0.049723,0.813841,12.064571,0,0,2,104.545846,0,0.093771,0.109753,9.386182
39.495827,0.534688,0,0.783966,0,1,152,0,5.27E+00,5.32E+00,4.99E+00,4.58E+00,4.24E+00,3.76E+00,2.95E+00,2.21E+00,1.65E+00,1.43E+00,1.41E+00,1.99E+15,0.423529,1.426863,44,22,0.007077,4.543822,60.769005,0.036427,0.831196,10.970536,0,0,1,80.384938,0,0.117118,0.093437,4.899947
53.705544,0.336116,0.503915,0.479862,0,4,33,0,5.03E+00,4.94E+00,4.55E+00,4.20E+00,3.83E+00,3.46E+00,2.88E+00,2.26E+00,1.63E+00,1.43E+00,1.41E+00,1.63E+15,0.654902,1.396929,86,123,0.004683,0.168919,91.641693,0.107415,0.910324,8.236482,0,0,4,124.604953,0,0.051309,0.09615,48.244904
65.24025,0.902438,0.034226,0.012017,0,0,0,0.000385,5.17E+00,5.22E+00,4.90E+00,4.53E+00,3.92E+00,3.31E+00,2.77E+00,2.27E+00,1.63E+00,1.42E+00,1.41E+00,4.09E+15,0.372549,1.428834,52,38,0.000981,0.878614,78.937492,0.016796,0.903046,13.683091,0,0,0,32.262571,0.000385,0.156764,0.10417,13.107314
47.754246,0.544431,1.304257,0.091235,0,1,106,0.015904,5.19E+00,5.28E+00,4.93E+00,4.50E+00,3.91E+00,3.28E+00,2.69E+00,2.19E+00,1.63E+00,1.42E+00,1.41E+00,2.38E+15,0.427451,1.417518,5,103,0.002252,4.396118,111.349533,0.146432,0.841645,12.06896,0,0,1,31.171052,0.00073,0.181223,0.112046,161.669163
49.142597,1.640092,0.681958,0.294241,0,3,56,0,5.24E+00,5.30E+00,5.02E+00,4.59E+00,4.11E+00,3.49E+00,2.75E+00,2.13E+00,1.59E+00,1.42E+00,1.41E+00,2.80E+15,0.188235,1.427513,24,55,0.009944,5.062262,104.771812,0.28487,0.866533,12.041454,0,1,3,26.206117,0,0.211885,0.055148,83.543771
62.651546,0.693595,0.28008,0.098995,0,0,0,0,5.24E+00,5.36E+00,5.05E+00,4.62E+00,4.05E+00,3.50E+00,2.77E+00,2.08E+00,1.56E+00,1.42E+00,1.41E+00,2.36E+15,0.741176,1.442661,21,54,0.011536,2.271536,87.060333,0.140416,0.883942,8.238142,0,0,0,45.011347,0,0.180023,0.130563,83.285888
74.37793,0.98658,0.53317,0.123627,0,2,93.5,0.103309,5.27E+00,5.41E+00,5.08E+00,4.60E+00,4.12E+00,3.54E+00,2.78E+00,2.05E+00,1.56E+00,1.42E+00,1.41E+00,2.49E+15,0.662745,1.413189,34,46,0.033041,0.350231,47.468182,0.314055,0.92075,9.246296,0,0,2,37.451221,0.001147,0.2105,0.113623,31.315979
58.166504,0.773721,0.231685,0.272628,0,0,0,5.978525,5.30E+00,5.34E+00,5.02E+00,4.65E+00,4.10E+00,3.50E+00,2.75E+00,2.07E+00,1.58E+00,1.43E+00,1.41E+00,2.29E+15,0.666667,1.410604,39,73,0.008041,0.045729,97.308517,0.189829,0.845793,6.213213,0,0,0,27.75427,0.075932,0.217081,0.115589,100.640239
85.664063,0.882169,0.299267,0.933571,0,2,70.5,0,5.03E+00,4.91E+00,4.56E+00,4.15E+00,3.78E+00,3.37E+00,2.86E+00,2.25E+00,1.65E+00,1.42E+00,1.41E+00,1.15E+15,0.533333,1.419676,59,38,0.001828,0.087965,61.714706,0.016568,0.906059,9.825215,0,1,2,153.854522,0,0.044059,0.188783,21.29692
77.578987,0.760094,0.517152,0.373725,0,4,41,0.033421,5.07E+00,5.02E+00,4.63E+00,4.21E+00,3.96E+00,3.44E+00,2.86E+00,2.27E+00,1.68E+00,1.43E+00,1.41E+00,1.70E+15,0.694118,1.416624,34,131,0.002647,1.157932,109.078186,0.089014,0.871318,9.251573,0,0,4,140.242179,0.00034,0.054848,0.140136,78.11365
64.604706,0.860904,0.08561,0.318002,0,3,38.333332,0,5.13E+00,5.07E+00,4.75E+00,4.28E+00,3.86E+00,3.39E+00,2.94E+00,2.21E+00,1.65E+00,1.43E+00,1.41E+00,1.74E+15,0.670588,1.338647,44,133,0.007542,1.72109,99.106453,0.213364,0.903997,10.266044,0,2,3,143.325742,0,0.061083,0.09989,58.072681
96.382729,0.808995,0.420737,0.375936,0,4,45.5,0,5.28E+00,5.03E+00,4.53E+00,4.04E+00,3.71E+00,3.35E+00,2.88E+00,2.18E+00,1.62E+00,1.43E+00,1.41E+00,1.77E+15,0.776471,1.349515,29,60,0.001147,1.353871,102.907959,0.013433,0.882704,9.937024,0,0,4,131.80393,0,0.046222,0.193584,96.295501
63.869358,0.862022,0.479668,0.724399,0,6,23.333334,0.103364,5.16E+00,4.77E+00,4.24E+00,3.81E+00,3.60E+00,3.30E+00,2.82E+00,2.15E+00,1.59E+00,1.43E+00,1.41E+00,1.82E+15,0.466667,1.450359,45,53,0.0048,2.088632,51.023979,0.183223,0.900436,10.551759,0,0,6,139.979228,0.001128,0.033221,0.101838,31.273071
32.902199,0.782412,0.00145,0.139978,0,2,86.5,0.026802,5.32E+00,5.44E+00,5.04E+00,4.54E+00,4.01E+00,3.42E+00,2.46E+00,1.75E+00,1.48E+00,1.42E+00,1.41E+00,2.16E+15,0.282353,1.410996,15,121,0.004866,0.159439,84.276291,0.283918,0.89266,12.134279,0,0,2,26.335266,0.00029,0.289508,0.053949,101.266968
93.796249,0.895168,0.891843,0.249322,0,2,73.5,0.032032,5.04E+00,4.84E+00,4.50E+00,4.10E+00,3.74E+00,3.50E+00,2.89E+00,2.14E+00,1.59E+00,1.43E+00,1.41E+00,1.33E+15,0.388235,1.395318,29,115,0.001309,0.558695,97.959763,0.18531,0.875655,11.922823,0,0,2,167.361059,0.000353,0.038403,0.170218,96.067795
83.671951,0.804874,0.320783,0.303469,0,2,72,0,5.15E+00,4.93E+00,4.57E+00,4.11E+00,3.75E+00,3.42E+00,2.86E+00,2.18E+00,1.60E+00,1.42E+00,1.41E+00,1.64E+15,0.847059,1.376581,28,62,0.024505,1.101482,113.07032,0.233057,0.839779,8.480587,0,0,2,153.865487,0,0.043344,0.160443,86.782399
89.612862,0.761407,0.542206,1.126421,0,6,34.666668,0,5.07E+00,4.93E+00,4.62E+00,4.19E+00,3.80E+00,3.48E+00,2.88E+00,2.21E+00,1.63E+00,1.43E+00,1.41E+00,1.48E+15,0.341176,1.332347,66,83,0.005934,1.397944,92.319923,0.029073,0.918451,15.902032,0,1,6,230.594571,0,0.041712,0.124683,55.718435
94.287453,0.410301,0.14198,0.046791,0,2,108,0,5.26E+00,5.12E+00,4.78E+00,4.33E+00,3.92E+00,3.61E+00,2.96E+00,2.18E+00,1.58E+00,1.42E+00,1.41E+00,1.44E+15,0.360784,1.384023,44,74,0.017977,0.723599,145.489075,0.12212,0.915992,17.707779,0,0,2,222.52971,0,0.047373,0.153982,34.857478
87.147354,0.792374,0.056646,0.572593,0,4,33.75,0,5.01E+00,4.79E+00,4.50E+00,4.11E+00,3.83E+00,3.46E+00,2.93E+00,2.26E+00,1.66E+00,1.43E+00,1.41E+00,1.41E+15,0.862745,1.411827,29,53,0.024526,2.726862,93.893829,0.298466,0.86326,8.509038,0,1,4,227.096618,0,0.037199,0.169424,89.686857
79.852745,0.750672,0.391437,0.116663,0,2,73.5,0,5.24E+00,5.06E+00,4.73E+00,4.29E+00,3.88E+00,3.55E+00,2.98E+00,2.25E+00,1.63E+00,1.44E+00,1.41E+00,1.51E+15,0.643137,1.338457,29,59,0.006986,0.902911,75.699951,0.03027,0.873143,10.087239,0,0,2,176.628043,0,0.048032,0.142472,83.934811
61.110542,1.488206,0.253802,0.099528,0,2,54.5,0,5.02E+00,4.95E+00,4.59E+00,4.19E+00,3.88E+00,3.40E+00,2.86E+00,2.21E+00,1.63E+00,1.43E+00,1.41E+00,1.75E+15,0.803922,1.34739,213,19,0.005211,5.699669,115.833595,0.085212,0.808235,6.869829,0,0,2,132.474058,0,0.062609,0.145547,64.036466
65.923599,0.618454,0.671847,0.228278,0,1,140,0,5.13E+00,5.11E+00,4.78E+00,4.29E+00,3.90E+00,3.40E+00,2.86E+00,2.38E+00,1.72E+00,1.44E+00,1.41E+00,2.39E+15,0.317647,1.317663,359,47,0.001072,0.368958,34.689419,0.011277,0.914232,10.118338,0,0,1,83.278422,0,0.06557,0.105288,106.200498
59.408585,0.424933,0.467064,0.334777,0,1,60,0,5.10E+00,4.89E+00,4.45E+00,4.00E+00,3.69E+00,3.54E+00,2.83E+00,2.25E+00,1.64E+00,1.42E+00,1.41E+00,1.83E+15,0.498039,1.391544,34,67,0.001791,0.297816,66.419159,0.015378,0.870489,8.625529,0,0,1,130.486612,0,0.052581,0.091822,21.2562
52.327351,0.905168,0.880943,0.026386,0,1,80,0,5.01E+00,4.92E+00,4.43E+00,3.87E+00,3.59E+00,3.46E+00,2.87E+00,2.20E+00,1.59E+00,1.43E+00,1.41E+00,1.27E+15,0.815686,1.419719,188,42,0.002024,0.402739,131.62384,0.059075,0.862739,8.220425,0,0,1,159.532335,0,0.048573,0.146211,44.846632
50.718506,1.024498,0.050464,0.072674,0,2,92.5,16.354071,5.33E+00,5.48E+00,5.13E+00,4.58E+00,4.04E+00,3.36E+00,2.43E+00,1.71E+00,1.47E+00,1.42E+00,1.41E+00,2.73E+15,0.396078,1.375795,81,82,0.003366,3.725846,203.385971,0.029281,0.894763,12.857132,0,0,2,23.690214,0.208808,0.278969,0.072315,80.805034
53.249649,0.7426,0.811442,0.104528,0,1,135,0,5.30E+00,5.37E+00,5.06E+00,4.54E+00,4.02E+00,3.63E+00,2.98E+00,2.15E+00,1.56E+00,1.42E+00,1.41E+00,2.70E+15,0.482353,1.396924,42,44,0.027306,0.59152,114.836052,0.250327,0.895225,13.486977,0,0,1,61.480577,0,0.143516,0.08177,14.325181
73.821518,0.754417,0.603887,0.151724,0,2,72.5,0,5.24E+00,5.25E+00,4.89E+00,4.47E+00,3.96E+00,3.55E+00,2.93E+00,2.17E+00,1.58E+00,1.42E+00,1.41E+00,2.70E+15,0.478431,1.374632,30,33,0.00642,0.448976,95.35817,0.105915,0.939478,12.690557,0,0,2,88.248285,0,0.134312,0.147681,27.165799
